"SWS_IDNO","SWS_CODE","SWS_DESCR","SWS_CREATEBY","SWS_CREATEDT","SWS_UPDATEBY","SWS_UPDATEDT"
167,"SWS1","My backyard","ADWR",3/9/1997 13:23:15,,
168,"SWS2","My neighbor's roof","ADWR",3/9/1997 13:23:15,,
